"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","opt.proportion"
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","H","H",10.5,1.29,13.545,0,0
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","H","D",10.5,5.52,57.96,0,0.019
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","D","D",5.72,5.52,31.5744,0,0.012
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","H","A",10.5,12.04,126.42,0,0.019
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","D","A",5.72,12.04,68.8688,0,0.019
"2017-08-12","Brighton","ManchesterCity","Chelsea","Burnley","A","A",1.3,12.04,15.652,1,0.002
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","H","H",10.5,1.79,18.795,0,0.004
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","D","H",5.72,1.79,10.2388,0,0
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","H","D",10.5,3.54,37.17,0,0.014
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","D","D",5.72,3.54,20.2488,0,0.006
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","H","A",10.5,4.93,51.765,0,0.014
"2017-08-12","Brighton","ManchesterCity","CrystalPalace","Huddersfield","D","A",5.72,4.93,28.1996,0,0.01
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","H","H",10.5,1.77,18.585,0,0.004
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","D","H",5.72,1.77,10.1244,0,0
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","H","D",10.5,3.52,36.96,0,0.012
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","D","D",5.72,3.52,20.1344,0,0.006
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","H","A",10.5,5.21,54.705,0,0.019
"2017-08-12","Brighton","ManchesterCity","Everton","Stoke","D","A",5.72,5.21,29.8012,0,0.012
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","H","H",10.5,1.59,16.695,0,0.003
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","D","H",5.72,1.59,9.0948,0,0
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","H","D",10.5,3.99,41.895,0,0.014
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","D","D",5.72,3.99,22.8228,0,0.007
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","H","A",10.5,6.18,64.89,0,0.019
"2017-08-12","Brighton","ManchesterCity","Southampton","Swansea","D","A",5.72,6.18,35.3496,0,0.012
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","H","H",10.5,6.38,66.99,0,0.019
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","D","H",5.72,6.38,36.4936,0,0.012
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","A","H",1.3,6.38,8.294,0,0
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","H","D",10.5,4.19,43.995,0,0.014
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","D","D",5.72,4.19,23.9668,0,0.007
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","H","A",10.5,1.55,16.275,0,0.003
"2017-08-12","Brighton","ManchesterCity","Watford","Liverpool","D","A",5.72,1.55,8.866,0,0
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","H","H",10.5,2.54,26.67,0,0.01
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","D","H",5.72,2.54,14.5288,0,0.001
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","H","D",10.5,3.19,33.495,0,0.012
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","D","D",5.72,3.19,18.2468,0,0.004
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","H","A",10.5,2.97,31.185,0,0.012
"2017-08-12","Brighton","ManchesterCity","WestBrom","Bournemouth","D","A",5.72,2.97,16.9884,0,0.003
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","D","H",5.52,1.79,9.8808,0,0
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","A","H",12.04,1.79,21.5516,0,0.007
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","D","D",5.52,3.54,19.5408,0,0.005
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","A","D",12.04,3.54,42.6216,0,0.014
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","D","A",5.52,4.93,27.2136,0,0.01
"2017-08-12","Chelsea","Burnley","CrystalPalace","Huddersfield","A","A",12.04,4.93,59.3572,1,0.019
"2017-08-12","Chelsea","Burnley","Everton","Stoke","D","H",5.52,1.77,9.7704,0,0
"2017-08-12","Chelsea","Burnley","Everton","Stoke","A","H",12.04,1.77,21.3108,0,0.006
"2017-08-12","Chelsea","Burnley","Everton","Stoke","D","D",5.52,3.52,19.4304,0,0.005
"2017-08-12","Chelsea","Burnley","Everton","Stoke","A","D",12.04,3.52,42.3808,0,0.014
"2017-08-12","Chelsea","Burnley","Everton","Stoke","D","A",5.52,5.21,28.7592,0,0.01
