"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2012-08-18,"Arsenal","Sunderland","Fulham","Norwich","A","D","7.8","3.59",28.002,0
2012-08-18,"Arsenal","Sunderland","Fulham","Norwich","D","A","4.4","4.53",19.932,0
2012-08-18,"Arsenal","Sunderland","Fulham","Norwich","A","A","7.8","4.53",35.334,0
2012-08-18,"Arsenal","Sunderland","Newcastle","Tottenham","A","H","7.8","2.69",20.982,0
2012-08-18,"Arsenal","Sunderland","Newcastle","Tottenham","A","D","7.8","3.28",25.584,0
2012-08-18,"Arsenal","Sunderland","Newcastle","Tottenham","A","A","7.8","2.62",20.436,0
2012-08-18,"Arsenal","Sunderland","QPR","Swansea","A","D","7.8","3.4",26.52,0
2012-08-18,"Arsenal","Sunderland","QPR","Swansea","A","A","7.8","3.98",31.044,0
2012-08-18,"Arsenal","Sunderland","Reading","Stoke","A","D","7.8","3.24",25.272,0
2012-08-18,"Arsenal","Sunderland","Reading","Stoke","A","A","7.8","3.05",23.79,0
2012-08-18,"Arsenal","Sunderland","West Brom","Liverpool","A","H","7.8","4.44",34.632,0
2012-08-18,"Arsenal","Sunderland","West Brom","Liverpool","A","D","7.8","3.49",27.222,0
2012-08-18,"Arsenal","Sunderland","West Ham","Aston Villa","A","D","7.8","3.37",26.286,0
2012-08-18,"Arsenal","Sunderland","West Ham","Aston Villa","A","A","7.8","3.46",26.988,0
2012-08-18,"Fulham","Norwich","West Brom","Liverpool","A","H","4.53","4.44",20.1132,0
2012-08-19,"Manchester City","Southampton","Wigan","Chelsea","D","H","7.7","4.85",37.345,0
2012-08-19,"Manchester City","Southampton","Wigan","Chelsea","A","H","17.94","4.85",87.009,0
2012-08-19,"Manchester City","Southampton","Wigan","Chelsea","D","D","7.7","3.52",27.104,0
2012-08-19,"Manchester City","Southampton","Wigan","Chelsea","A","D","17.94","3.52",63.1488,0
2012-08-19,"Manchester City","Southampton","Wigan","Chelsea","A","A","17.94","1.76",31.5744,0
2012-08-25,"Aston Villa","Everton","Chelsea","Newcastle","H","A","3.25","6.91",22.4575,0
2012-08-25,"Aston Villa","Everton","Chelsea","Newcastle","D","A","3.27","6.91",22.5957,0
2012-08-25,"Aston Villa","Everton","Manchester United","Fulham","H","A","3.25","10.83",35.1975,0
2012-08-25,"Aston Villa","Everton","Manchester United","Fulham","D","A","3.27","10.83",35.4141,0
2012-08-25,"Aston Villa","Everton","Manchester United","Fulham","A","A","2.26","10.83",24.4758,0
2012-08-25,"Chelsea","Newcastle","Manchester United","Fulham","D","D","4.31","5.29",22.7999,0
2012-08-25,"Chelsea","Newcastle","Manchester United","Fulham","A","D","6.91","5.29",36.5539,0
2012-08-25,"Chelsea","Newcastle","Manchester United","Fulham","D","A","4.31","10.83",46.6773,0
2012-08-25,"Chelsea","Newcastle","Manchester United","Fulham","A","A","6.91","10.83",74.8353,0
2012-08-25,"Chelsea","Newcastle","Norwich","QPR","A","D","6.91","3.34",23.0794,0
2012-08-25,"Chelsea","Newcastle","Norwich","QPR","A","A","6.91","3.04",21.0064,0
2012-08-25,"Chelsea","Newcastle","Southampton","Wigan","A","D","6.91","3.35",23.1485,0
2012-08-25,"Chelsea","Newcastle","Southampton","Wigan","A","A","6.91","3.45",23.8395,0
2012-08-25,"Chelsea","Newcastle","Swansea","West Ham","A","D","6.91","3.31",22.8721,0
2012-08-25,"Chelsea","Newcastle","Swansea","West Ham","A","A","6.91","3.52",24.3232,0
2012-08-25,"Chelsea","Newcastle","Tottenham","West Brom","A","D","6.91","3.96",27.3636,0
2012-08-25,"Chelsea","Newcastle","Tottenham","West Brom","D","A","4.31","6.01",25.9031,0
2012-08-25,"Chelsea","Newcastle","Tottenham","West Brom","A","A","6.91","6.01",41.5291,0
2012-08-25,"Manchester United","Fulham","Norwich","QPR","A","H","10.83","2.32",25.1256,1
2012-08-25,"Manchester United","Fulham","Norwich","QPR","A","D","10.83","3.34",36.1722,0
2012-08-25,"Manchester United","Fulham","Norwich","QPR","A","A","10.83","3.04",32.9232,0
2012-08-25,"Manchester United","Fulham","Southampton","Wigan","A","H","10.83","2.12",22.9596,1
2012-08-25,"Manchester United","Fulham","Southampton","Wigan","A","D","10.83","3.35",36.2805,0
2012-08-25,"Manchester United","Fulham","Southampton","Wigan","A","A","10.83","3.45",37.3635,0
2012-08-25,"Manchester United","Fulham","Swansea","West Ham","A","H","10.83","2.12",22.9596,1
2012-08-25,"Manchester United","Fulham","Swansea","West Ham","A","D","10.83","3.31",35.8473,0
2012-08-25,"Manchester United","Fulham","Swansea","West Ham","A","A","10.83","3.52",38.1216,0
2012-08-25,"Manchester United","Fulham","Tottenham","West Brom","D","D","5.29","3.96",20.9484,0
2012-08-25,"Manchester United","Fulham","Tottenham","West Brom","A","D","10.83","3.96",42.8868,0
2012-08-25,"Manchester United","Fulham","Tottenham","West Brom","D","A","5.29","6.01",31.7929,0
2012-08-25,"Manchester United","Fulham","Tottenham","West Brom","A","A","10.83","6.01",65.0883,0
2012-08-25,"Norwich","QPR","Tottenham","West Brom","D","A","3.34","6.01",20.0734,0
2012-08-25,"Southampton","Wigan","Tottenham","West Brom","D","A","3.35","6.01",20.1335,0
2012-08-25,"Southampton","Wigan","Tottenham","West Brom","A","A","3.45","6.01",20.7345,0
2012-08-25,"Swansea","West Ham","Tottenham","West Brom","D","A","3.31","6.01",19.8931,0
2012-08-25,"Swansea","West Ham","Tottenham","West Brom","A","A","3.52","6.01",21.1552,0
2012-09-01,"Manchester City","QPR","Swansea","Sunderland","A","H","14.61","2.03",29.6583,0
2012-09-01,"Manchester City","QPR","Swansea","Sunderland","D","D","7","3.37",23.59,0
2012-09-01,"Manchester City","QPR","Swansea","Sunderland","A","D","14.61","3.37",49.2357,0
2012-09-01,"Manchester City","QPR","Swansea","Sunderland","D","A","7","3.71",25.97,0
2012-09-01,"Manchester City","QPR","Swansea","Sunderland","A","A","14.61","3.71",54.2031,0
2012-09-01,"Manchester City","QPR","Tottenham","Norwich","A","H","14.61","1.36",19.8696,0
2012-09-01,"Manchester City","QPR","Tottenham","Norwich","D","D","7","4.85",33.95,0
2012-09-01,"Manchester City","QPR","Tottenham","Norwich","A","D","14.61","4.85",70.8585,0
2012-09-01,"Manchester City","QPR","Tottenham","Norwich","D","A","7","8.46",59.22,0
2012-09-01,"Manchester City","QPR","Tottenham","Norwich","A","A","14.61","8.46",123.6006,0
2012-09-01,"Manchester City","QPR","West Brom","Everton","D","H","7","3.03",21.21,0
2012-09-01,"Manchester City","QPR","West Brom","Everton","A","H","14.61","3.03",44.2683,0
2012-09-01,"Manchester City","QPR","West Brom","Everton","D","D","7","3.28",22.96,0
2012-09-01,"Manchester City","QPR","West Brom","Everton","A","D","14.61","3.28",47.9208,0
2012-09-01,"Manchester City","QPR","West Brom","Everton","A","A","14.61","2.37",34.6257,0
2012-09-01,"Manchester City","QPR","West Ham","Fulham","A","H","14.61","2.53",36.9633,0
2012-09-01,"Manchester City","QPR","West Ham","Fulham","D","D","7","3.28",22.96,0
2012-09-01,"Manchester City","QPR","West Ham","Fulham","A","D","14.61","3.28",47.9208,0
2012-09-01,"Manchester City","QPR","West Ham","Fulham","A","A","14.61","2.79",40.7619,0
2012-09-01,"Manchester City","QPR","Wigan","Stoke","A","H","14.61","2.11",30.8271,0
2012-09-01,"Manchester City","QPR","Wigan","Stoke","D","D","7","3.25",22.75,0
2012-09-01,"Manchester City","QPR","Wigan","Stoke","A","D","14.61","3.25",47.4825,0
2012-09-01,"Manchester City","QPR","Wigan","Stoke","D","A","7","3.6",25.2,0
2012-09-01,"Manchester City","QPR","Wigan","Stoke","A","A","14.61","3.6",52.596,0
2012-09-01,"Swansea","Sunderland","Tottenham","Norwich","D","A","3.37","8.46",28.5102,0
2012-09-01,"Swansea","Sunderland","Tottenham","Norwich","A","A","3.71","8.46",31.3866,0
2012-09-01,"Tottenham","Norwich","West Brom","Everton","A","H","8.46","3.03",25.6338,0
2012-09-01,"Tottenham","Norwich","West Brom","Everton","A","D","8.46","3.28",27.7488,0
2012-09-01,"Tottenham","Norwich","West Brom","Everton","A","A","8.46","2.37",20.0502,0
2012-09-01,"Tottenham","Norwich","West Ham","Fulham","A","H","8.46","2.53",21.4038,0
2012-09-01,"Tottenham","Norwich","West Ham","Fulham","A","D","8.46","3.28",27.7488,0
2012-09-01,"Tottenham","Norwich","West Ham","Fulham","A","A","8.46","2.79",23.6034,0
2012-09-01,"Tottenham","Norwich","Wigan","Stoke","A","D","8.46","3.25",27.495,0
2012-09-01,"Tottenham","Norwich","Wigan","Stoke","A","A","8.46","3.6",30.456,0
2012-09-02,"Liverpool","Arsenal","Newcastle","Aston Villa","A","A","4.06","5.47",22.2082,0
2012-09-02,"Liverpool","Arsenal","Southampton","Manchester United","D","H","3.46","6.64",22.9744,0
2012-09-02,"Liverpool","Arsenal","Southampton","Manchester United","A","H","4.06","6.64",26.9584,0
2012-09-02,"Newcastle","Aston Villa","Southampton","Manchester United","D","H","3.73","6.64",24.7672,0
2012-09-02,"Newcastle","Aston Villa","Southampton","Manchester United","A","H","5.47","6.64",36.3208,0
2012-09-02,"Newcastle","Aston Villa","Southampton","Manchester United","A","D","5.47","4.22",23.0834,1
2012-09-15,"Arsenal","Southampton","Aston Villa","Swansea","A","H","9.19","2.31",21.2289,0
