Time,H.team.1,A.team.1,H.team.2,A.team.2,Choose.1,Choose.2,Odd.1,Odd.2,joint.odds,result.mat
6/11/2010,South Africa,Mexico,Uruguay,France,H,H,2.93,3.52,10.3136,0
6/11/2010,South Africa,Mexico,Uruguay,France,D,H,3.1,3.52,10.912,0
6/11/2010,South Africa,Mexico,Uruguay,France,A,H,2.54,3.52,8.9408,0
6/11/2010,South Africa,Mexico,Uruguay,France,H,D,2.93,3.15,9.2295,0
6/11/2010,South Africa,Mexico,Uruguay,France,D,D,3.1,3.15,9.765,1
6/12/2010,England,USA,Argentina,Nigeria,A,H,6.86,1.4,9.604,0
6/12/2010,England,USA,Argentina,Nigeria,D,D,4.02,4.38,17.6076,0
6/12/2010,England,USA,Argentina,Nigeria,A,D,6.86,4.38,30.0468,0
6/12/2010,England,USA,Argentina,Nigeria,H,A,1.51,8.68,13.1068,0
6/12/2010,England,USA,Argentina,Nigeria,D,A,4.02,8.68,34.8936,0
6/12/2010,England,USA,Argentina,Nigeria,A,A,6.86,8.68,59.5448,0
6/12/2010,England,USA,South Korea,Greece,D,H,4.02,2.7,10.854,1
6/12/2010,England,USA,South Korea,Greece,A,H,6.86,2.7,18.522,0
6/12/2010,England,USA,South Korea,Greece,D,D,4.02,2.98,11.9796,0
6/12/2010,England,USA,South Korea,Greece,A,D,6.86,2.98,20.4428,0
6/12/2010,England,USA,South Korea,Greece,D,A,4.02,2.84,11.4168,0
6/12/2010,England,USA,South Korea,Greece,A,A,6.86,2.84,19.4824,0
6/12/2010,Argentina,Nigeria,South Korea,Greece,D,H,4.38,2.7,11.826,1
6/12/2010,Argentina,Nigeria,South Korea,Greece,A,H,8.68,2.7,23.436,0
6/12/2010,Argentina,Nigeria,South Korea,Greece,D,D,4.38,2.98,13.0524,0
6/12/2010,Argentina,Nigeria,South Korea,Greece,A,D,8.68,2.98,25.8664,0
6/12/2010,Argentina,Nigeria,South Korea,Greece,D,A,4.38,2.84,12.4392,0
6/12/2010,Argentina,Nigeria,South Korea,Greece,A,A,8.68,2.84,24.6512,0
6/13/2010,Germany,Australia,Serbia,Ghana,A,H,7.1,2.03,14.413,0
6/13/2010,Germany,Australia,Serbia,Ghana,D,D,3.84,3.21,12.3264,0
6/13/2010,Germany,Australia,Serbia,Ghana,A,D,7.1,3.21,22.791,0
6/13/2010,Germany,Australia,Serbia,Ghana,D,A,3.84,3.98,15.2832,0
6/13/2010,Germany,Australia,Serbia,Ghana,A,A,7.1,3.98,28.258,0
6/13/2010,Germany,Australia,Algeria,Slovenia,D,H,3.84,3.66,14.0544,0
6/13/2010,Germany,Australia,Algeria,Slovenia,A,H,7.1,3.66,25.986,0
6/13/2010,Germany,Australia,Algeria,Slovenia,D,D,3.84,3.15,12.096,0
6/13/2010,Germany,Australia,Algeria,Slovenia,A,D,7.1,3.15,22.365,0
6/13/2010,Germany,Australia,Algeria,Slovenia,D,A,3.84,2.14,8.2176,0
6/13/2010,Germany,Australia,Algeria,Slovenia,A,A,7.1,2.14,15.194,0
6/13/2010,Serbia,Ghana,Algeria,Slovenia,D,H,3.21,3.66,11.7486,0
6/13/2010,Serbia,Ghana,Algeria,Slovenia,A,H,3.98,3.66,14.5668,0
6/13/2010,Serbia,Ghana,Algeria,Slovenia,D,D,3.21,3.15,10.1115,0
6/13/2010,Serbia,Ghana,Algeria,Slovenia,A,D,3.98,3.15,12.537,0
6/13/2010,Serbia,Ghana,Algeria,Slovenia,A,A,3.98,2.14,8.5172,0
6/14/2010,Italy,Paraguay,Japan,Cameroon,D,H,3.01,3.64,10.9564,1
6/14/2010,Italy,Paraguay,Japan,Cameroon,A,H,3.82,3.64,13.9048,0
6/14/2010,Italy,Paraguay,Japan,Cameroon,D,D,3.01,3.12,9.3912,0
6/14/2010,Italy,Paraguay,Japan,Cameroon,A,D,3.82,3.12,11.9184,0
6/14/2010,Italy,Paraguay,Japan,Cameroon,A,A,3.82,2.16,8.2512,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,H,D,2.13,3.96,8.4348,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,D,D,3.01,3.96,11.9196,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,A,D,3.82,3.96,15.1272,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,H,A,2.13,6.94,14.7822,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,D,A,3.01,6.94,20.8894,0
6/14/2010,Italy,Paraguay,Netherlands,Denmark,A,A,3.82,6.94,26.5108,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,H,D,3.64,3.96,14.4144,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,D,D,3.12,3.96,12.3552,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,A,D,2.16,3.96,8.5536,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,H,A,3.64,6.94,25.2616,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,D,A,3.12,6.94,21.6528,0
6/14/2010,Japan,Cameroon,Netherlands,Denmark,A,A,2.16,6.94,14.9904,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,D,H,9.42,3.75,35.325,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,A,H,29.89,3.75,112.0875,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,D,D,9.42,3.17,29.8614,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,A,D,29.89,3.17,94.7513,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,D,A,9.42,2.1,19.782,0
6/15/2010,Brazil,North Korea,Ivory Coast,Portugal,A,A,29.89,2.1,62.769,0
6/15/2010,Brazil,North Korea,New Zealand,Slovakia,D,H,9.42,7.49,70.5558,0
6/15/2010,Brazil,North Korea,New Zealand,Slovakia,D,D,9.42,3.85,36.267,0
6/15/2010,Brazil,North Korea,New Zealand,Slovakia,A,D,29.89,3.85,115.0765,0
6/15/2010,Brazil,North Korea,New Zealand,Slovakia,D,A,9.42,1.5,14.13,0
6/15/2010,Brazil,North Korea,New Zealand,Slovakia,A,A,29.89,1.5,44.835,0
6/15/2010,Ivory Coast,Portugal,New Zealand,Slovakia,H,H,3.75,7.49,28.0875,0
6/15/2010,Ivory Coast,Portugal,New Zealand,Slovakia,D,H,3.17,7.49,23.7433,0
6/15/2010,Ivory Coast,Portugal,New Zealand,Slovakia,A,H,2.1,7.49,15.729,0
6/15/2010,Ivory Coast,Portugal,New Zealand,Slovakia,H,D,3.75,3.85,14.4375,1
