"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","A","D","8.91","3.23",28.7793,0
2014-06-14,"Uruguay","Costa Rica","Colombia","Greece","A","A","8.91","5.01",44.6391,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","A","D","8.91","4.39",39.1149,0
2014-06-14,"Uruguay","Costa Rica","Chile","Australia","D","A","4.16","8.55",35.568,0
2014-06-14,"Colombia","Greece","Chile","Australia","D","A","3.23","8.55",27.6165,0
2014-06-14,"Colombia","Greece","Chile","Australia","A","A","5.01","8.55",42.8355,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","H","12.14","2.4",29.136,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","D","12.14","3.2",38.848,0
2014-06-15,"France","Honduras","Switzerland","Ecuador","A","A","12.14","3.14",38.1196,0
2014-06-15,"France","Honduras","England","Italy","A","H","12.14","2.5",30.35,0
2014-06-15,"France","Honduras","England","Italy","A","D","12.14","3",36.42,0
2014-06-15,"France","Honduras","England","Italy","A","A","12.14","3.21",38.9694,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","H","12.14","2.7",32.778,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","D","12.14","3.28",39.8192,0
2014-06-15,"France","Honduras","Ivory Coast","Japan","A","A","12.14","2.68",32.5352,0
2014-06-16,"Germany","Portugal","Argentina","Bosnia & Herzegovina","D","A","3.5","10.1",35.35,0
2014-06-16,"Germany","Portugal","Argentina","Bosnia & Herzegovina","A","A","3.64","10.1",36.764,0
2014-06-16,"Argentina","Bosnia & Herzegovina","Iran","Nigeria","D","H","5.53","4.73",26.1569,0
2014-06-16,"Argentina","Bosnia & Herzegovina","Iran","Nigeria","A","H","10.1","4.73",47.773,0
2014-06-16,"Argentina","Bosnia & Herzegovina","Iran","Nigeria","A","D","10.1","3.44",34.744,0
2014-06-17,"Belgium","Algeria","Ghana","USA","A","D","9.69","3.38",32.7522,0
2014-06-17,"Belgium","Algeria","Ghana","USA","A","A","9.69","2.98",28.8762,0
2014-06-17,"Belgium","Algeria","Brazil","Mexico","D","D","5.14","5.23",26.8822,0
2014-06-17,"Belgium","Algeria","Brazil","Mexico","A","D","9.69","5.23",50.6787,0
2014-06-17,"Belgium","Algeria","Brazil","Mexico","D","A","5.14","9.01",46.3114,0
2014-06-17,"Ghana","USA","Brazil","Mexico","D","A","3.38","9.01",30.4538,0
2014-06-17,"Ghana","USA","Brazil","Mexico","A","A","2.98","9.01",26.8498,0
2014-06-18,"Russia","South Korea","Australia","Netherlands","D","H","3.56","12.91",45.9596,0
2014-06-18,"Russia","South Korea","Australia","Netherlands","A","D","4.59","6.5",29.835,0
2014-06-18,"Russia","South Korea","Spain","Chile","A","A","4.59","5.51",25.2909,0
2014-06-18,"Australia","Netherlands","Spain","Chile","H","D","12.91","4.41",56.9331,0
2014-06-18,"Australia","Netherlands","Spain","Chile","D","D","6.5","4.41",28.665,0
2014-06-18,"Australia","Netherlands","Spain","Chile","D","A","6.5","5.51",35.815,1
2014-06-20,"Switzerland","France","Italy","Costa Rica","H","A","4.54","6.51",29.5554,0
2014-06-21,"Germany","Ghana","Argentina","Iran","D","D","5.44","8.35",45.424,0
2014-06-21,"Germany","Ghana","Argentina","Iran","H","A","1.33","20.74",27.5842,0
2014-06-21,"Germany","Ghana","Honduras","Ecuador","D","H","5.44","5.71",31.0624,1
2014-06-21,"Germany","Ghana","Honduras","Ecuador","A","H","8.97","5.71",51.2187,0
2014-06-21,"Germany","Ghana","Honduras","Ecuador","A","D","8.97","4.12",36.9564,0
2014-06-21,"Argentina","Iran","Honduras","Ecuador","D","H","8.35","5.71",47.6785,1
2014-06-21,"Argentina","Iran","Honduras","Ecuador","D","D","8.35","4.12",34.402,0
2014-06-21,"Argentina","Iran","Honduras","Ecuador","A","A","20.74","1.59",32.9766,0
2014-06-23,"USA","Portugal","Australia","Spain","H","H","4.53","7.8",35.334,0
2014-06-23,"USA","Portugal","Australia","Spain","D","H","4.02","7.8",31.356,0
2014-06-23,"USA","Portugal","Cameroon","Brazil","A","H","1.73","21.37",36.9701,0
2014-06-23,"USA","Portugal","Cameroon","Brazil","H","D","4.53","9.28",42.0384,0
2014-06-23,"USA","Portugal","Cameroon","Brazil","D","D","4.02","9.28",37.3056,0
2014-06-23,"Australia","Spain","Netherlands","Chile","H","D","7.8","3.47",27.066,0
2014-06-23,"Australia","Spain","Cameroon","Brazil","A","H","1.38","21.37",29.4906,0
2014-06-23,"Australia","Spain","Cameroon","Brazil","D","D","5.19","9.28",48.1632,0
2014-06-23,"Australia","Spain","Croatia","Mexico","H","D","7.8","3.42",26.676,0
2014-06-23,"Netherlands","Chile","Cameroon","Brazil","H","H","2.66","21.37",56.8442,0
2014-06-23,"Netherlands","Chile","Cameroon","Brazil","A","H","2.6","21.37",55.562,0
2014-06-23,"Netherlands","Chile","Cameroon","Brazil","H","D","2.66","9.28",24.6848,0
2014-06-23,"Netherlands","Chile","Cameroon","Brazil","D","D","3.47","9.28",32.2016,0
2014-06-23,"Netherlands","Chile","Cameroon","Brazil","A","D","2.6","9.28",24.128,0
2014-06-23,"Cameroon","Brazil","Croatia","Mexico","H","H","21.37","2.68",57.2716,0
2014-06-23,"Cameroon","Brazil","Croatia","Mexico","D","H","9.28","2.68",24.8704,0
2014-06-23,"Cameroon","Brazil","Croatia","Mexico","D","D","9.28","3.42",31.7376,0
2014-06-23,"Cameroon","Brazil","Croatia","Mexico","H","A","21.37","2.61",55.7757,0
2014-06-23,"Cameroon","Brazil","Croatia","Mexico","D","A","9.28","2.61",24.2208,1
2014-06-25,"Bosnia & Herzegovina","Iran","Nigeria","Argentina","D","H","3.51","9.25",32.4675,0
2014-06-25,"Bosnia & Herzegovina","Iran","Nigeria","Argentina","A","H","3.25","9.25",30.0625,0
2014-06-25,"Bosnia & Herzegovina","Iran","Honduras","Switzerland","D","H","3.51","6.97",24.4647,0
2014-06-25,"Nigeria","Argentina","Ecuador","France","H","H","9.25","5.51",50.9675,0
2014-06-25,"Nigeria","Argentina","Ecuador","France","H","D","9.25","4.07",37.6475,0
2014-06-25,"Nigeria","Argentina","Honduras","Switzerland","D","H","4.15","6.97",28.9255,0
2014-06-25,"Nigeria","Argentina","Honduras","Switzerland","H","D","9.25","4.41",40.7925,0
2014-06-25,"Ecuador","France","Honduras","Switzerland","H","H","5.51","6.97",38.4047,0
2014-06-25,"Ecuador","France","Honduras","Switzerland","D","H","4.07","6.97",28.3679,0
2014-06-25,"Ecuador","France","Honduras","Switzerland","H","D","5.51","4.41",24.2991,0
2014-06-26,"Algeria","Russia","USA","Germany","H","H","3.6","8.07",29.052,0
2014-06-26,"Algeria","Russia","USA","Germany","D","H","3.64","8.07",29.3748,0
2014-06-26,"South Korea","Belgium","USA","Germany","H","H","4.53","8.07",36.5571,0
2014-06-26,"South Korea","Belgium","USA","Germany","D","H","3.54","8.07",28.5678,0
2014-06-26,"Portugal","Ghana","USA","Germany","D","H","4.75","8.07",38.3325,0
2014-06-26,"Portugal","Ghana","USA","Germany","A","H","3.7","8.07",29.859,0
2014-06-30,"France","Nigeria","Germany","Algeria","D","D","4.6","5.52",25.392,0
2014-06-30,"France","Nigeria","Germany","Algeria","A","D","8.44","5.52",46.5888,0
2014-06-30,"France","Nigeria","Germany","Algeria","D","A","4.6","9.94",45.724,0
2014-07-01,"Argentina","Switzerland","Belgium","USA","A","A","6.25","3.98",24.875,0
2014-07-05,"Argentina","Belgium","Netherlands","Costa Rica","A","A","4.12","6.98",28.7576,0
