Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
13.05.2007,Blackburn,Reading,3:03,D,1.92,3.37,3.63
13.05.2007,Bolton,Aston Villa,2:02,D,2.05,3.25,3.44
13.05.2007,Chelsea,Everton,1:01,D,1.63,3.44,5.31
13.05.2007,Liverpool,Charlton,2:02,D,1.32,4.42,9.05
13.05.2007,Manchester United,West Ham,0:01,A,1.68,3.34,5.15
13.05.2007,Middlesbrough,Fulham,3:01,H,1.82,3.31,4.19
13.05.2007,Portsmouth,Arsenal,0:00,D,2.72,3.26,2.38
13.05.2007,Sheffield Utd,Wigan,1:02,A,2.19,3.34,3
13.05.2007,Tottenham,Manchester City,2:01,H,1.47,3.82,6.91
13.05.2007,Watford,Newcastle,1:01,D,2.57,3.23,2.55
10.05.2007,Tottenham,Blackburn,1:01,D,1.75,3.39,4.45
09.05.2007,Chelsea,Manchester United,0:00,D,2.25,3.25,3.2
07.05.2007,Charlton,Tottenham,0:02,A,3.09,3.35,2.16
06.05.2007,Arsenal,Chelsea,1:01,D,2.65,3.22,2.57
05.05.2007,Aston Villa,Sheffield Utd,3:00,H,1.94,3.22,3.84
05.05.2007,Everton,Portsmouth,3:00,H,1.88,3.28,4.01
05.05.2007,Fulham,Liverpool,1:00,H,2.8,3.25,2.4
05.05.2007,Manchester City,Manchester United,0:01,A,6.57,3.68,1.51
05.05.2007,Newcastle,Blackburn,0:02,A,2.31,3.22,2.94
05.05.2007,Reading,Watford,0:02,A,1.4,4.09,7.64
05.05.2007,West Ham,Bolton,3:01,H,2.06,3.35,3.33
05.05.2007,Wigan,Middlesbrough,0:01,A,2.06,3.25,3.4
30.04.2007,Reading,Newcastle,1:00,H,1.91,3.32,3.88
29.04.2007,Arsenal,Fulham,3:01,H,1.35,4.37,8.73
28.04.2007,Blackburn,Charlton,4:01,H,1.89,3.32,3.98
28.04.2007,Chelsea,Bolton,2:02,D,1.27,4.87,10.56
28.04.2007,Everton,Manchester United,2:04,A,5.05,3.49,1.67
28.04.2007,Manchester City,Aston Villa,0:02,A,2.22,3.16,3.11
28.04.2007,Middlesbrough,Tottenham,2:03,A,2.73,3.18,2.45
28.04.2007,Portsmouth,Liverpool,2:01,H,2.8,3.18,2.44
28.04.2007,Sheffield Utd,Watford,1:00,H,1.55,3.65,6.17
28.04.2007,Wigan,West Ham,0:03,A,2.23,3.21,3.04
22.04.2007,Aston Villa,Portsmouth,0:00,D,2.14,3.21,3.28
22.04.2007,Newcastle,Chelsea,0:00,D,7,3.78,1.48
21.04.2007,Bolton,Reading,1:03,A,1.81,3.32,4.34
21.04.2007,Charlton,Sheffield Utd,1:01,D,2.01,3.25,3.55
21.04.2007,Fulham,Blackburn,1:01,D,2.23,3.18,3.07
21.04.2007,Liverpool,Wigan,2:00,H,1.39,4.29,7.78
21.04.2007,Manchester United,Middlesbrough,1:01,D,1.19,5.74,13.36
21.04.2007,Tottenham,Arsenal,2:02,D,2.67,3.17,2.54
21.04.2007,Watford,Manchester City,1:01,D,2.7,3.18,2.47
21.04.2007,West Ham,Everton,1:00,H,2.44,3.21,2.75
18.04.2007,Blackburn,Watford,3:01,H,1.58,3.51,5.87
18.04.2007,Liverpool,Middlesbrough,2:00,H,1.34,4.4,8.76
18.04.2007,West Ham,Chelsea,1:04,A,6.9,3.86,1.46
17.04.2007,Manchester United,Sheffield Utd,2:00,H,1.14,6.53,15.67
17.04.2007,Arsenal,Manchester City,3:01,H,1.4,4.14,7.82
15.04.2007,Everton,Charlton,2:01,H,1.69,3.42,4.93
15.04.2007,Wigan,Tottenham,3:03,D,2.87,3.23,2.31
14.04.2007,Arsenal,Bolton,2:01,H,1.66,3.43,5.28
14.04.2007,Manchester City,Liverpool,0:00,D,4.42,3.34,1.79
14.04.2007,Middlesbrough,Aston Villa,1:03,A,2.13,3.16,3.26
14.04.2007,Portsmouth,Newcastle,2:01,H,2.02,3.23,3.57
14.04.2007,Reading,Fulham,1:00,H,1.89,3.26,4.01
14.04.2007,Sheffield Utd,West Ham,3:00,H,2.39,3.2,2.78
09.04.2007,Aston Villa,Wigan,1:01,D,1.93,3.21,3.83
