Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
23.06.2006,Saudi Arabia,Spain,0:01,A,16.24,6.69,1.15
23.06.2006,Ukraine,Tunisia,1:00,H,1.61,3.55,6.1
23.06.2006,Switzerland,South Korea,2:00,H,2.02,2.89,4.3
23.06.2006,Togo,France,0:02,A,16.05,7.2,1.14
22.06.2006,Croatia,Australia,2:02,D,2.22,3.22,3
22.06.2006,Japan,Brazil,1:04,A,12,5.25,1.21
22.06.2006,Czech Republic,Italy,0:02,A,3.95,3.15,1.95
22.06.2006,Ghana,USA,2:01,H,2.2,3.25,2.75
21.06.2006,Iran,Angola,1:01,D,2.4,3.1,2.6
21.06.2006,Portugal,Mexico,2:01,H,2.2,2.62,3.5
21.06.2006,Ivory Coast,Serbia and Montenegro,3:02,H,2.1,3.2,3
21.06.2006,Netherlands,Argentina,0:00,D,3.4,3,2
20.06.2006,Paraguay,Trinidad & Tobago,2:00,H,1.8,3.75,3.3
20.06.2006,Sweden,England,2:02,D,3.1,2.62,2.37
20.06.2006,Costa Rica,Poland,1:02,A,4.75,3.45,1.71
19.06.2006,Saudi Arabia,Ukraine,0:04,A,7,3.75,1.4
19.06.2006,Spain,Tunisia,3:01,H,1.3,4,9.5
19.06.2006,Togo,Switzerland,0:02,A,6.5,3.6,1.44
18.06.2006,France,South Korea,1:01,D,1.44,3.5,7
18.06.2006,Brazil,Australia,2:00,H,1.2,5,11
18.06.2006,Japan,Croatia,0:00,D,5,3.3,1.61
17.06.2006,Czech Republic,Ghana,0:02,A,1.61,3.3,5
17.06.2006,Portugal,Iran,2:00,H,1.3,4,9.5
16.06.2006,Mexico,Angola,0:00,D,1.4,3.5,8
16.06.2006,Netherlands,Ivory Coast,2:01,H,1.93,3.2,3.93
15.06.2006,England,Trinidad & Tobago,2:00,H,1.13,6.38,22
15.06.2006,Sweden,Paraguay,1:00,H,1.93,3.18,3.97
15.06.2006,Ecuador,Costa Rica,3:00,H,1.93,3.18,3.97
14.06.2006,Spain,Ukraine,4:00,H,1.83,3.2,4.52
13.06.2006,France,Switzerland,0:00,D,1.66,3.25,5.4
13.06.2006,South Korea,Togo,2:01,H,1.97,3.09,3.63
13.06.2006,Brazil,Croatia,1:00,H,1.4,3.5,8
12.06.2006,Australia,Japan,3:01,H,2.48,3.13,2.88
12.06.2006,Italy,Ghana,2:00,H,1.52,3.4,6.75
12.06.2006,USA,Czech Republic,0:03,A,4.1,3.25,1.88
11.06.2006,Angola,Portugal,0:01,A,9,3.75,1.33
11.06.2006,Serbia and Montenegro,Netherlands,0:01,A,4.19,3.12,1.88
10.06.2006,Argentina,Ivory Coast,2:01,H,1.6,3.6,6.75
10.06.2006,England,Paraguay,1:00,H,1.61,3.38,6.2
10.06.2006,Trinidad & Tobago,Sweden,0:00,D,16,5.65,1.23
09.06.2006,Germany,Costa Rica,4:02,H,1.25,5.04,12.03
09.06.2006,Poland,Ecuador,0:02,A,1.93,3.25,4.05
09.07.2006,Italy,France,2:01,D,2.57,2.79,3.18
08.07.2006,Germany,Portugal,3:01,H,1.83,3.36,4.31
05.07.2006,Portugal,France,0:01,A,3.84,2.87,2.14
04.07.2006,Germany,Italy,0:02,D,2.43,2.87,3.21
01.07.2006,Brazil,France,0:01,A,1.74,3.38,5.06
01.07.2006,England,Portugal,0:01,D,2.11,3.02,3.7
30.06.2006,Germany,Argentina,2:01,D,2.55,3,2.89
30.06.2006,Italy,Ukraine,3:00,H,1.58,3.4,6.86
27.06.2006,Brazil,Ghana,3:00,H,1.26,5.27,11.11
27.06.2006,Spain,France,1:03,A,2.33,3,3.19
26.06.2006,Italy,Australia,1:00,H,1.53,3.72,6.94
26.06.2006,Switzerland,Ukraine,0:01,D,2.4,3.01,3.14
25.06.2006,England,Ecuador,1:00,H,1.5,3.78,6.99
25.06.2006,Portugal,Netherlands,1:00,H,3.11,3.05,2.38
24.06.2006,Argentina,Mexico,2:01,D,1.36,4.22,10.15
24.06.2006,Germany,Sweden,2:00,H,1.63,3.51,5.73
