Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
14.06.2002,Belgium,Russia,3:02,H,3.1,2.98,2.48
14.06.2002,Tunisia,Japan,0:02,A,5.8,3.49,1.66
14.06.2002,Poland,USA,3:01,H,4.17,2.96,1.97
14.06.2002,Portugal,South Korea,0:01,A,1.96,3.18,4.06
13.06.2002,Ecuador,Croatia,1:00,H,5.96,3.68,1.58
13.06.2002,Mexico,Italy,1:01,D,6.09,3.66,1.55
13.06.2002,Costa Rica,Brazil,2:05,A,8.33,3.1,1.52
13.06.2002,Turkey,China,3:00,H,1.37,4.77,7.97
12.06.2002,Nigeria,England,0:00,D,5.68,3.48,1.66
12.06.2002,Sweden,Argentina,1:01,D,5.57,3.53,1.66
12.06.2002,Slovenia,Paraguay,1:03,A,5.04,3.72,1.66
12.06.2002,South Africa,Spain,2:03,A,6.83,2.85,1.69
11.06.2002,Cameroon,Germany,0:02,A,4.18,3.25,1.95
11.06.2002,Saudi Arabia,Ireland,0:03,A,8.22,5.09,1.31
11.06.2002,Denmark,France,2:00,H,6.72,3.86,1.53
11.06.2002,Senegal,Uruguay,3:03,D,2.81,3.04,2.62
10.06.2002,Tunisia,Belgium,1:01,D,6.02,3.81,1.56
10.06.2002,Portugal,Poland,4:00,H,1.63,3.64,5.49
10.06.2002,South Korea,USA,1:01,D,2.33,2.94,3.51
09.06.2002,Japan,Russia,1:00,H,2.95,2.89,2.66
09.06.2002,Mexico,Ecuador,2:01,H,2.1,3.03,3.92
09.06.2002,Costa Rica,Turkey,1:01,D,4.18,3.32,1.88
08.06.2002,Italy,Croatia,1:02,A,1.6,3.53,5.98
08.06.2002,Brazil,China,4:00,H,1.13,6.78,9.99
08.06.2002,South Africa,Slovenia,1:00,H,3.18,2.99,2.4
07.06.2002,Argentina,England,0:01,A,2.12,2.93,3.89
07.06.2002,Sweden,Nigeria,2:01,H,2.65,2.94,2.83
07.06.2002,Spain,Paraguay,3:01,H,1.61,3.48,6.09
06.06.2002,Cameroon,Saudi Arabia,1:00,H,1.31,4.9,8.71
06.06.2002,Denmark,Senegal,1:01,D,2.24,2.96,3.53
06.06.2002,France,Uruguay,0:00,D,1.49,3.88,7.02
05.06.2002,Russia,Tunisia,2:00,H,1.56,3.7,6.12
05.06.2002,Germany,Ireland,1:01,D,1.62,3.56,5.67
05.06.2002,USA,Portugal,3:02,H,7.67,4.3,1.4
04.06.2002,Japan,Belgium,2:02,D,2.58,2.94,2.9
04.06.2002,South Korea,Poland,2:00,H,2.57,2.95,2.93
04.06.2002,China,Costa Rica,0:02,A,3.4,3.04,2.26
03.06.2002,Croatia,Mexico,0:01,A,2.34,2.93,3.35
03.06.2002,Italy,Ecuador,2:00,H,1.38,4.22,8.22
03.06.2002,Brazil,Turkey,2:01,H,1.44,4.16,7.7
02.06.2002,Argentina,Nigeria,1:00,H,1.65,3.58,5.58
02.06.2002,England,Sweden,1:01,D,1.93,3.17,4.29
02.06.2002,Paraguay,South Africa,2:02,D,2.01,3.18,4.08
02.06.2002,Spain,Slovenia,3:01,H,1.44,4.06,7.76
01.06.2002,Germany,Saudi Arabia,8:00,H,1.29,4.82,9.05
01.06.2002,Ireland,Cameroon,1:01,D,3.33,2.95,2.3
01.06.2002,Uruguay,Denmark,1:02,A,2.63,2.73,3.03
31.05.2002,France,Senegal,0:01,A,1.32,4.38,8.97
30.06.2002,Germany,Brazil,0:02,A,4.22,3.12,2.06
29.06.2002,South Korea,Turkey,2:03,A,2.72,2.94,2.85
26.06.2002,Brazil,Turkey,1:00,H,1.55,3.81,5.99
25.06.2002,Germany,South Korea,1:00,H,2.23,2.97,3.72
22.06.2002,Senegal,Turkey,0:01,D,2.58,2.96,2.91
22.06.2002,Spain,South Korea,0:01,D,2.14,3.06,3.83
21.06.2002,England,Brazil,1:02,A,3.23,3.01,2.43
21.06.2002,Germany,USA,1:00,H,1.63,3.53,5.98
18.06.2002,Japan,Turkey,0:01,A,2.53,2.98,3.1
18.06.2002,South Korea,Italy,2:01,D,3.93,3.13,2.01
17.06.2002,Brazil,Belgium,2:00,H,1.41,4.34,7.86
17.06.2002,Mexico,USA,0:02,A,2.1,3.04,3.81
16.06.2002,Spain,Ireland,2:01,D,1.58,3.62,6.19
16.06.2002,Sweden,Senegal,1:02,D,2.19,3.09,3.51
15.06.2002,Denmark,England,0:03,A,3.77,3.09,2.08
15.06.2002,Germany,Paraguay,1:00,H,1.71,3.36,5.23
