Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds,,,,,,,,
14.06.2018,Russia,Saudi Arabia,0:00,D,1.42,4.32,8.89,,19.06.2018 20:00,Russia,Egypt,24,2.09,3.18,4.1
15.06.2018,Egypt,Uruguay,0:00,D,6.59,3.65,1.6,,20.06.2018 17:00,Uruguay,Saudi Arabia,24,1.16,8.09,19.69
15.06.2018,Morocco,Iran,0:00,D,2.28,2.94,3.69,,25.06.2018 16:00,Saudi Arabia,Egypt,23,7.36,4.27,1.47
15.06.2018,Portugal,Spain,0:00,D,4.4,3.33,1.91,,25.06.2018 16:00,Uruguay,Russia,23,2.28,3.15,3.38
16.06.2018,France,Australia,0:00,D,1.22,6.34,13.83,,20.06.2018 14:00,Portugal,Morocco,24,1.65,3.77,5.99
16.06.2018,Peru,Denmark,0:00,D,3.13,3.19,2.4,,20.06.2018 20:00,Iran,Spain,24,20.61,7.47,1.16
16.06.2018,Argentina,Iceland,0:00,D,1.31,4.9,12.25,,25.06.2018 20:00,Iran,Portugal,23,9.54,5.03,1.33
16.06.2018,Croatia,Nigeria,0:00,D,1.7,3.61,5.42,,25.06.2018 20:00,Spain,Morocco,23,1.35,4.92,9.41
17.06.2018,Costa Rica,Serbia,0:00,D,4.43,3.26,1.94,,21.06.2018 14:00,Denmark,Australia,24,1.85,3.48,4.59
17.06.2018,Brazil,Switzerland,0:00,D,1.41,4.58,8.38,,21.06.2018 17:00,France,Peru,24,1.5,4.31,6.95
17.06.2018,Germany,Mexico,0:00,D,1.48,4.24,7.25,,26.06.2018 16:00,Australia,Peru,23,3.57,3.34,2.11
18.06.2018,Sweden,South Korea,0:00,D,2.03,3.23,4.08,,26.06.2018 16:00,Denmark,France,23,5.09,3.68,1.71
18.06.2018,Belgium,Panama,0:00,D,1.17,7.1,19.02,,21.06.2018 20:00,Argentina,Croatia,24,2.04,3.33,3.95
18.06.2018,Tunisia,England,0:00,D,9.55,4.53,1.38,,22.06.2018 17:00,Nigeria,Iceland,24,2.89,3.08,2.67
19.06.2018,Russia,Egypt,0:00,D,2.03,3.26,3.91,,26.06.2018 20:00,Iceland,Croatia,23,4.66,3.57,1.79
