"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat"
2018-06-15,"Egypt","Uruguay","Morocco","Iran","H","H","6.59","2.28",15.0252,0
2018-06-15,"Egypt","Uruguay","Morocco","Iran","D","H","3.65","2.28",8.322,0
2018-06-15,"Egypt","Uruguay","Morocco","Iran","H","D","6.59","2.94",19.3746,0
2018-06-15,"Egypt","Uruguay","Morocco","Iran","D","D","3.65","2.94",10.731,1
2018-06-15,"Egypt","Uruguay","Morocco","Iran","H","A","6.59","3.69",24.3171,0
2018-06-15,"Egypt","Uruguay","Morocco","Iran","D","A","3.65","3.69",13.4685,0
2018-06-15,"Egypt","Uruguay","Portugal","Spain","H","H","6.59","4.4",28.996,0
2018-06-15,"Egypt","Uruguay","Portugal","Spain","D","H","3.65","4.4",16.06,0
2018-06-15,"Egypt","Uruguay","Portugal","Spain","H","D","6.59","3.33",21.9447,0
2018-06-15,"Egypt","Uruguay","Portugal","Spain","D","D","3.65","3.33",12.1545,1
2018-06-15,"Egypt","Uruguay","Portugal","Spain","H","A","6.59","1.91",12.5869,0
2018-06-15,"Morocco","Iran","Portugal","Spain","H","H","2.28","4.4",10.032,0
2018-06-15,"Morocco","Iran","Portugal","Spain","D","H","2.94","4.4",12.936,0
2018-06-15,"Morocco","Iran","Portugal","Spain","A","H","3.69","4.4",16.236,0
2018-06-15,"Morocco","Iran","Portugal","Spain","D","D","2.94","3.33",9.7902,1
2018-06-15,"Morocco","Iran","Portugal","Spain","A","D","3.69","3.33",12.2877,0
2018-06-16,"France","Australia","Peru","Denmark","D","H","6.34","3.13",19.8442,0
2018-06-16,"France","Australia","Peru","Denmark","A","H","13.83","3.13",43.2879,0
2018-06-16,"France","Australia","Peru","Denmark","D","D","6.34","3.19",20.2246,1
2018-06-16,"France","Australia","Peru","Denmark","A","D","13.83","3.19",44.1177,0
2018-06-16,"France","Australia","Peru","Denmark","D","A","6.34","2.4",15.216,0
2018-06-16,"France","Australia","Peru","Denmark","A","A","13.83","2.4",33.192,0
2018-06-16,"France","Australia","Argentina","Iceland","D","H","6.34","1.31",8.3054,0
2018-06-16,"France","Australia","Argentina","Iceland","A","H","13.83","1.31",18.1173,0
2018-06-16,"France","Australia","Argentina","Iceland","D","D","6.34","4.9",31.066,1
2018-06-16,"France","Australia","Argentina","Iceland","A","D","13.83","4.9",67.767,0
2018-06-16,"France","Australia","Argentina","Iceland","H","A","1.22","12.25",14.945,0
2018-06-16,"France","Australia","Argentina","Iceland","D","A","6.34","12.25",77.665,0
2018-06-16,"France","Australia","Croatia","Nigeria","D","H","6.34","1.7",10.778,0
2018-06-16,"France","Australia","Croatia","Nigeria","A","H","13.83","1.7",23.511,0
2018-06-16,"France","Australia","Croatia","Nigeria","D","D","6.34","3.61",22.8874,1
2018-06-16,"France","Australia","Croatia","Nigeria","A","D","13.83","3.61",49.9263,0
2018-06-16,"France","Australia","Croatia","Nigeria","D","A","6.34","5.42",34.3628,0
2018-06-16,"France","Australia","Croatia","Nigeria","A","A","13.83","5.42",74.9586,0
2018-06-16,"Peru","Denmark","Argentina","Iceland","H","D","3.13","4.9",15.337,0
2018-06-16,"Peru","Denmark","Argentina","Iceland","D","D","3.19","4.9",15.631,1
2018-06-16,"Peru","Denmark","Argentina","Iceland","A","D","2.4","4.9",11.76,0
2018-06-16,"Peru","Denmark","Argentina","Iceland","H","A","3.13","12.25",38.3425,0
2018-06-16,"Peru","Denmark","Argentina","Iceland","D","A","3.19","12.25",39.0775,0
2018-06-16,"Peru","Denmark","Argentina","Iceland","A","A","2.4","12.25",29.4,0
2018-06-16,"Peru","Denmark","Croatia","Nigeria","H","D","3.13","3.61",11.2993,0
2018-06-16,"Peru","Denmark","Croatia","Nigeria","D","D","3.19","3.61",11.5159,1
2018-06-16,"Peru","Denmark","Croatia","Nigeria","A","D","2.4","3.61",8.664,0
2018-06-16,"Peru","Denmark","Croatia","Nigeria","H","A","3.13","5.42",16.9646,0
2018-06-16,"Peru","Denmark","Croatia","Nigeria","D","A","3.19","5.42",17.2898,0
2018-06-16,"Peru","Denmark","Croatia","Nigeria","A","A","2.4","5.42",13.008,0
2018-06-16,"Argentina","Iceland","Croatia","Nigeria","D","H","4.9","1.7",8.33,0
2018-06-16,"Argentina","Iceland","Croatia","Nigeria","A","H","12.25","1.7",20.825,0
