"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-08-18","Charlton","Everton","Derby","Blackburn","D","D",3.5,3.1,10.85,0,1000
"2001-08-18","Charlton","Everton","Derby","Blackburn","A","D",3.3,3.1,10.23,0,1000
"2001-08-18","Charlton","Everton","Derby","Blackburn","D","A",3.5,3.1,10.85,0,1000
"2001-08-18","Charlton","Everton","Derby","Blackburn","A","A",3.3,3.1,10.23,0,1000
"2001-08-18","Charlton","Everton","Leeds","Southampton","H","D",2,4.5,9,0,1000
"2001-08-18","Charlton","Everton","Leeds","Southampton","D","D",3.5,4.5,15.75,0,1000
"2001-08-18","Charlton","Everton","Leeds","Southampton","A","D",3.3,4.5,14.85,0,1000
"2001-08-18","Charlton","Everton","Leeds","Southampton","H","A",2,7.5,15,0,1000
"2001-08-18","Charlton","Everton","Leicester","Bolton","D","D",3.5,3.3,11.55,0,1000
"2001-08-18","Charlton","Everton","Leicester","Bolton","A","D",3.3,3.3,10.89,0,1000
"2001-08-18","Charlton","Everton","Leicester","Bolton","D","A",3.5,4.25,14.875,0,1000
"2001-08-18","Charlton","Everton","Leicester","Bolton","A","A",3.3,4.25,14.025,0,1000
"2001-08-18","Charlton","Everton","Liverpool","West Ham","D","D",3.5,4,14,0,1000
"2001-08-18","Charlton","Everton","Liverpool","West Ham","A","D",3.3,4,13.2,0,1000
"2001-08-18","Charlton","Everton","Liverpool","West Ham","H","A",2,6,12,0,1000
"2001-08-18","Charlton","Everton","Liverpool","West Ham","D","A",3.5,6,21,0,1000
"2001-08-18","Charlton","Everton","Liverpool","West Ham","A","A",3.3,6,19.8,0,1000
"2001-08-18","Charlton","Everton","Middlesbrough","Arsenal","D","H",3.5,3.5,12.25,0,1000
"2001-08-18","Charlton","Everton","Middlesbrough","Arsenal","A","H",3.3,3.5,11.55,1,1000
"2001-08-18","Charlton","Everton","Middlesbrough","Arsenal","D","D",3.5,3.25,11.375,0,1000
"2001-08-18","Charlton","Everton","Middlesbrough","Arsenal","A","D",3.3,3.25,10.725,0,1000
"2001-08-18","Charlton","Everton","Sunderland","Ipswich","D","D",3.5,3.5,12.25,0,1000
"2001-08-18","Charlton","Everton","Sunderland","Ipswich","A","D",3.3,3.5,11.55,0,1000
"2001-08-18","Charlton","Everton","Sunderland","Ipswich","D","A",3.5,3.3,11.55,0,1000
"2001-08-18","Charlton","Everton","Sunderland","Ipswich","A","A",3.3,3.3,10.89,0,1000
"2001-08-18","Charlton","Everton","Tottenham","Aston Villa","D","D",3.5,3.3,11.55,0,1000
"2001-08-18","Charlton","Everton","Tottenham","Aston Villa","A","D",3.3,3.3,10.89,0,1000
"2001-08-18","Charlton","Everton","Tottenham","Aston Villa","D","A",3.5,2.8,9.8,0,1000
"2001-08-18","Charlton","Everton","Tottenham","Aston Villa","A","A",3.3,2.8,9.24,0,1000
"2001-08-18","Derby","Blackburn","Leeds","Southampton","H","D",2.29,4.5,10.305,0,1000
"2001-08-18","Derby","Blackburn","Leeds","Southampton","D","D",3.1,4.5,13.95,0,1000
"2001-08-18","Derby","Blackburn","Leeds","Southampton","A","D",3.1,4.5,13.95,0,1000
"2001-08-18","Derby","Blackburn","Leeds","Southampton","H","A",2.29,7.5,17.175,0,1000
"2001-08-18","Derby","Blackburn","Leicester","Bolton","D","D",3.1,3.3,10.23,0,1000
"2001-08-18","Derby","Blackburn","Leicester","Bolton","A","D",3.1,3.3,10.23,0,1000
"2001-08-18","Derby","Blackburn","Leicester","Bolton","H","A",2.29,4.25,9.7325,0,1000
"2001-08-18","Derby","Blackburn","Leicester","Bolton","D","A",3.1,4.25,13.175,0,1000
"2001-08-18","Derby","Blackburn","Leicester","Bolton","A","A",3.1,4.25,13.175,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","H","D",2.29,4,9.16,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","D","D",3.1,4,12.4,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","A","D",3.1,4,12.4,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","H","A",2.29,6,13.74,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","D","A",3.1,6,18.6,0,1000
"2001-08-18","Derby","Blackburn","Liverpool","West Ham","A","A",3.1,6,18.6,0,1000
"2001-08-18","Derby","Blackburn","Middlesbrough","Arsenal","D","H",3.1,3.5,10.85,0,1000
"2001-08-18","Derby","Blackburn","Middlesbrough","Arsenal","A","H",3.1,3.5,10.85,1,1000
"2001-08-18","Derby","Blackburn","Middlesbrough","Arsenal","D","D",3.1,3.25,10.075,0,1000
"2001-08-18","Derby","Blackburn","Middlesbrough","Arsenal","A","D",3.1,3.25,10.075,0,1000
"2001-08-18","Derby","Blackburn","Sunderland","Ipswich","D","D",3.1,3.5,10.85,0,1000
"2001-08-18","Derby","Blackburn","Sunderland","Ipswich","A","D",3.1,3.5,10.85,0,1000
"2001-08-18","Derby","Blackburn","Sunderland","Ipswich","D","A",3.1,3.3,10.23,0,1000
"2001-08-18","Derby","Blackburn","Sunderland","Ipswich","A","A",3.1,3.3,10.23,0,1000
"2001-08-18","Derby","Blackburn","Tottenham","Aston Villa","D","D",3.1,3.3,10.23,0,1000
"2001-08-18","Derby","Blackburn","Tottenham","Aston Villa","A","D",3.1,3.3,10.23,0,1000
"2001-08-18","Leeds","Southampton","Leicester","Bolton","A","H",7.5,1.84,13.8,1,1000
"2001-08-18","Leeds","Southampton","Leicester","Bolton","D","D",4.5,3.3,14.85,0,1000
"2001-08-18","Leeds","Southampton","Leicester","Bolton","D","A",4.5,4.25,19.125,0,1000
"2001-08-18","Leeds","Southampton","Liverpool","West Ham","A","H",7.5,1.32,9.9,1,1000
"2001-08-18","Leeds","Southampton","Liverpool","West Ham","D","D",4.5,4,18,0,1000
"2001-08-18","Leeds","Southampton","Middlesbrough","Arsenal","D","H",4.5,3.5,15.75,0,1000
"2001-08-18","Leeds","Southampton","Middlesbrough","Arsenal","D","D",4.5,3.25,14.625,0,1000
"2001-08-18","Leeds","Southampton","Middlesbrough","Arsenal","D","A",4.5,2.15,9.675,0,1000
"2001-08-18","Leeds","Southampton","Middlesbrough","Arsenal","A","A",7.5,2.15,16.125,0,1000
"2001-08-18","Leeds","Southampton","Sunderland","Ipswich","D","H",4.5,2,9,0,1000
"2001-08-18","Leeds","Southampton","Sunderland","Ipswich","A","H",7.5,2,15,1,1000
"2001-08-18","Leeds","Southampton","Sunderland","Ipswich","D","D",4.5,3.5,15.75,0,1000
"2001-08-18","Leeds","Southampton","Sunderland","Ipswich","D","A",4.5,3.3,14.85,0,1000
"2001-08-18","Leeds","Southampton","Tottenham","Aston Villa","D","H",4.5,2.2,9.9,0,1000
"2001-08-18","Leeds","Southampton","Tottenham","Aston Villa","A","H",7.5,2.2,16.5,1,1000
"2001-08-18","Leeds","Southampton","Tottenham","Aston Villa","D","D",4.5,3.3,14.85,0,1000
"2001-08-18","Leeds","Southampton","Tottenham","Aston Villa","D","A",4.5,2.8,12.6,0,1000
"2001-08-18","Leeds","Southampton","Tottenham","Aston Villa","A","A",7.5,2.8,21,0,1000
"2001-08-18","Leicester","Bolton","Liverpool","West Ham","D","D",3.3,4,13.2,0,1000
"2001-08-18","Leicester","Bolton","Liverpool","West Ham","A","D",4.25,4,17,0,1000
"2001-08-18","Leicester","Bolton","Liverpool","West Ham","H","A",1.84,6,11.04,0,1000
"2001-08-18","Leicester","Bolton","Liverpool","West Ham","D","A",3.3,6,19.8,0,1000
"2001-08-18","Leicester","Bolton","Middlesbrough","Arsenal","D","H",3.3,3.5,11.55,0,1000
"2001-08-18","Leicester","Bolton","Middlesbrough","Arsenal","A","H",4.25,3.5,14.875,1,1000
"2001-08-18","Leicester","Bolton","Middlesbrough","Arsenal","D","D",3.3,3.25,10.725,0,1000
"2001-08-18","Leicester","Bolton","Middlesbrough","Arsenal","A","D",4.25,3.25,13.8125,0,1000
"2001-08-18","Leicester","Bolton","Middlesbrough","Arsenal","A","A",4.25,2.15,9.1375,0,1000
"2001-08-18","Leicester","Bolton","Sunderland","Ipswich","D","D",3.3,3.5,11.55,0,1000
"2001-08-18","Leicester","Bolton","Sunderland","Ipswich","A","D",4.25,3.5,14.875,0,1000
