"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2018-06-15","Egypt","Uruguay","Morocco","Iran","D","H",3.65,2.28,8.322,0.108944790701786,0,0.129615262229924,0.00187254733502135,1000
"2018-06-15","Egypt","Uruguay","Morocco","Iran","A","A",1.6,3.69,5.904,0.153563439739204,1,0.17804023812629,0.0101968136787714,1000
"2018-06-15","Egypt","Uruguay","Portugal","Spain","A","H",1.6,4.4,7.04,0.128612605295151,0,0.153184390890756,0.00483598672912092,1000
"2018-06-15","Egypt","Uruguay","Portugal","Spain","A","D",1.6,3.33,5.328,0.169938577567166,1,0.192213494432346,0.0141462685519945,1000
"2018-06-15","Egypt","Uruguay","Portugal","Spain","D","A",3.65,1.91,6.9715,0.129876316614482,0,0.154571851883613,0.00506477198484435,1000
"2018-06-15","Morocco","Iran","Portugal","Spain","H","D",2.28,3.33,7.5924,0.11936674941847,0,0.142485957270006,0.00337796450440745,1000
"2018-06-15","Morocco","Iran","Portugal","Spain","D","A",2.94,1.91,5.6154,0.161391905881111,0,0.185005736812617,0.0120511475880443,1000
"2018-06-15","Morocco","Iran","Portugal","Spain","A","A",3.69,1.91,7.0479,0.128588672978447,0,0.153025259531999,0.00494740011396862,1000
"2018-06-16","France","Australia","Argentina","Iceland","D","H",6.34,1.31,8.3054,0.10933656961428,0,0.129893100286233,0.00209749258178075,1000
"2018-06-16","France","Australia","Argentina","Iceland","H","D",1.22,4.9,5.978,0.151904306670198,1,0.176297772981464,0.0100348363908731,1000
"2018-06-16","France","Australia","Croatia","Nigeria","H","A",1.22,5.42,6.6124,0.13724249856904,0,0.162073633925029,0.00676680117763028,1000
"2018-06-16","Peru","Denmark","Croatia","Nigeria","H","H",3.13,1.7,5.321,0.170562829413091,0,0.192392444293895,0.0146828875625156,1000
"2018-06-16","Peru","Denmark","Croatia","Nigeria","D","H",3.19,1.7,5.423,0.16735475111692,0,0.189800874918166,0.0138151514703991,1000
"2018-06-16","Peru","Denmark","Croatia","Nigeria","A","D",2.4,3.61,8.664,0.104751248304138,0,0.124038281423706,0.0014215216541082,1000
"2018-06-16","Argentina","Iceland","Croatia","Nigeria","D","H",4.9,1.7,8.33,0.109009729397389,1,0.129481604608267,0.00204811227822836,1000
"2018-06-16","Argentina","Iceland","Croatia","Nigeria","H","A",1.31,5.42,7.1002,0.127890910943389,0,0.151976349163629,0.00506210484544696,1000
"2018-06-17","Costa Rica","Serbia","Brazil","Switzerland","H","H",4.43,1.41,6.2463,0.145927210393869,0,0.17012740625699,0.00919461836240539,1000
"2018-06-17","Costa Rica","Serbia","Brazil","Switzerland","A","D",1.94,4.58,8.8852,0.102586901170849,1,0.120576192242507,0.00158601218363937,1000
"2018-06-17","Costa Rica","Serbia","Germany","Mexico","H","H",4.43,1.48,6.5564,0.13868564422225,0,0.163278665288576,0.00731563083414795,1000
"2018-06-17","Costa Rica","Serbia","Germany","Mexico","A","D",1.94,4.24,8.2256,0.110542520640289,0,0.131238172475427,0.00240968177628946,1000
"2018-06-17","Brazil","Switzerland","Germany","Mexico","D","H",4.58,1.48,6.7784,0.13427856745048,0,0.15855769928264,0.00656090066340294,1000
"2018-06-17","Brazil","Switzerland","Germany","Mexico","H","D",1.41,4.24,5.9784,0.152247063027956,0,0.17628840224523,0.010444417341477,1000
"2018-06-18","Sweden","South Korea","Tunisia","England","H","D",2.03,4.53,9.1959,0.0988783545101053,0,0.115896897954934,0.000886679362496582,1000
"2018-06-18","Sweden","South Korea","Tunisia","England","A","A",4.08,1.38,5.6304,0.161493936530171,0,0.184637004844018,0.0125691596990709,1000
"2018-06-18","Belgium","Panama","Tunisia","England","H","D",1.17,4.53,5.3001,0.171424645724464,0,0.19292769989783,0.0150926228804541,1000
"2018-06-18","Belgium","Panama","Tunisia","England","D","A",7.1,1.38,9.798,0.0927299208822445,0,0.107403185220025,0.000132443936157927,1000
"2018-06-19","Russia "," Egypt","Colombia "," Japan","D","H",3.26,1.68,5.4768,0.164951583189894,0,0.188447766048519,0.0124814515783493,1000
"2018-06-19","Russia "," Egypt","Colombia "," Japan","A","H",3.91,1.68,6.5688,0.137529964501037,0,0.163011007762616,0.00623200513266454,1000
"2018-06-19","Russia "," Egypt","Colombia "," Japan","H","D",2.03,3.62,7.3486,0.122935910352232,0,0.147101810676885,0.00358472922279643,1000
"2018-06-19","Russia "," Egypt","Poland "," Senegal","D","H",3.26,2.33,7.5958,0.119105315722399,0,0.142422739270491,0.00313403102854229,1000
"2018-06-19","Russia "," Egypt","Poland "," Senegal","A","H",3.91,2.33,9.1103,0.0993051992979597,0,0.117165181847248,0.00043965143432839,1000
"2018-06-19","Russia "," Egypt","Poland "," Senegal","H","D",2.03,3.18,6.4554,0.140146258506708,0,0.165476433536172,0.00694711647162222,1000
"2018-06-19","Russia "," Egypt","Poland "," Senegal","H","A",2.03,3.29,6.6787,0.13546051734083,1,0.160659353272753,0.00601324726444252,1000
"2018-06-19","Colombia "," Japan","Poland "," Senegal","D","H",3.62,2.33,8.4346,0.107875329142347,0,0.127748313427648,0.00210568139880804,1000
"2018-06-19","Colombia "," Japan","Poland "," Senegal","H","D",1.68,3.18,5.3424,0.17031395088051,0,0.191845877558744,0.0150118302756345,1000
"2018-06-19","Colombia "," Japan","Poland "," Senegal","H","A",1.68,3.29,5.5272,0.164619563465053,0,0.187188814318135,0.013479666856472,1000
"2018-06-20","Uruguay "," Saudi Arabia","Portugal "," Morocco","H","A",1.21,5.77,6.9817,0.128745903786604,0,0.15436438020879,0.00395479328151242,1000
