Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
19.05.2013,Chelsea,Everton,2:01,H,1.72,3.75,4.82
19.05.2013,Liverpool,QPR,1:00,H,1.24,6.18,11.86
19.05.2013,Manchester City,Norwich,2:03,A,1.26,5.72,11.27
19.05.2013,Newcastle,Arsenal,0:01,A,5.91,4.4,1.52
19.05.2013,Southampton,Stoke,1:01,D,1.67,3.67,5.39
19.05.2013,Swansea,Fulham,0:03,A,1.66,3.82,5.24
19.05.2013,Tottenham,Sunderland,1:00,H,1.24,5.98,12.52
19.05.2013,West Brom,Manchester United,5:05,D,3.78,3.49,1.98
19.05.2013,West Ham,Reading,4:02,H,1.61,3.92,5.64
19.05.2013,Wigan,Aston Villa,2:02,D,2.05,3.47,3.58
14.05.2013,Arsenal,Wigan,4:01,H,1.36,5.3,7.62
14.05.2013,Reading,Manchester City,0:02,A,6.51,4.53,1.48
12.05.2013,Everton,West Ham,2:00,H,1.51,4.14,6.75
12.05.2013,Fulham,Liverpool,1:03,A,3.77,3.46,2.01
12.05.2013,Manchester United,Swansea,2:01,H,1.33,5.1,9.35
12.05.2013,Norwich,West Brom,4:00,H,2.35,3.27,3.1
12.05.2013,QPR,Newcastle,1:02,A,3.01,3.38,2.34
12.05.2013,Stoke,Tottenham,1:02,A,4.65,3.54,1.79
12.05.2013,Sunderland,Southampton,1:01,D,3.04,3.08,2.5
11.05.2013,Aston Villa,Chelsea,1:02,A,5.19,3.97,1.65
08.05.2013,Chelsea,Tottenham,2:02,D,1.82,3.69,4.28
07.05.2013,Manchester City,West Brom,1:00,H,1.39,4.71,8.31
07.05.2013,Wigan,Swansea,2:03,A,1.78,3.68,4.55
06.05.2013,Sunderland,Stoke,1:01,D,2.19,3.12,3.63
05.05.2013,Liverpool,Everton,0:00,D,1.95,3.49,3.93
05.05.2013,Manchester United,Chelsea,0:01,A,2.3,3.4,3.06
04.05.2013,Fulham,Reading,2:04,A,1.69,3.74,5.18
04.05.2013,Norwich,Aston Villa,1:02,A,2.51,3.2,2.91
04.05.2013,QPR,Arsenal,0:01,A,8.36,4.87,1.37
04.05.2013,Swansea,Manchester City,0:00,D,4.81,3.67,1.75
