Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
14.06.2018,Russia,Saudi Arabia,5:00,H,1.42,4.32,8.89
15.06.2018,Egypt,Uruguay,0:01,A,6.59,3.65,1.6
15.06.2018,Morocco,Iran,0:01,A,2.28,2.94,3.69
15.06.2018,Portugal,Spain,3:03,D,4.4,3.33,1.91
16.06.2018,France,Australia,2:01,H,1.22,6.34,13.83
16.06.2018,Peru,Denmark,0:01,A,3.13,3.19,2.4
16.06.2018,Argentina,Iceland,1:01,D,1.31,4.9,12.25
16.06.2018,Croatia,Nigeria,2:00,H,1.7,3.61,5.42
17.06.2018,Costa Rica,Serbia,0:01,A,4.43,3.26,1.94
17.06.2018,Brazil,Switzerland,1:01,D,1.41,4.58,8.38
17.06.2018,Germany,Mexico,0:01,A,1.48,4.24,7.25
18.06.2018,Sweden,South Korea,1:00,H,2.03,3.23,4.08
18.06.2018,Belgium,Panama,3:00,H,1.17,7.1,19.02
18.06.2018,Tunisia,England,1:02,A,9.55,4.53,1.38
19.06.2018,Russia , Egypt,3:01,H,2.03,3.26,3.91
19.06.2018,Colombia , Japan,1:02,A,1.68,3.62,5.63
19.06.2018,Poland , Senegal,1:02,A,2.33,3.18,3.29
20.06.2018,Uruguay , Saudi Arabia,1:00,H,1.21,6.09,15.26
20.06.2018,Portugal , Morocco,1:00,H,1.64,3.7,5.77
20.06.2018,Iran , Spain,0:01,A,16.98,6.43,1.19
21.06.2018,Denmark , Australia,1:01,D,1.71,3.65,5.1
21.06.2018,France , Peru,1:00,H,1.42,4.56,7.85
21.06.2018,Argentina , Croatia,0:03,A,1.95,3.38,4.06
22.06.2018,Nigeria , Iceland,2:00,H,2.6,3.09,2.88
22.06.2018,Brazil , Costa Rica,2:00,H,1.22,6.12,14.42
22.06.2018,Serbia , Switzerland,1:02,A,2.95,3.12,2.55
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
